fecha,smvm_mensual,smvm_diario,smvm_hora
2022-09-01,51200.0,2048.0,256.0
2022-10-01,54550.0,2182.0,272.75
2022-11-01,57900.0,2316.0,289.5
2022-12-01,61953.0,2478.12,309.77
2023-01-01,65427.0,2617.08,327.14
2023-02-01,67743.0,2709.72,338.72
2023-03-01,69500.0,2996.0,374.5
2023-04-01,80342.0,3213.68,401.71
2023-05-01,84512.0,3380.48,422.56
2023-06-01,87987.0,3519.52,439.94
2023-07-01,105500.0,4220.0,527.5
2023-08-01,112500.0,4500.0,562.5
2023-09-01,118000.0,4720.0,590.0
2023-10-01,132000.0,5280.0,660.0
2023-11-01,146000.0,5839.999999999999,730.0
2023-12-01,156000.0,6239.999999999999,780.0
